12012040306 00000000000000001533000000000000000015338000000000000FINAL CONSUMIDOR FINAL        0000000001540000000000000000000000000001272732100000000000026727               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001534000000000000000015348000000000000FINAL CONSUMIDOR FINAL        0000000000140000000000000000000000000000115702100000000000002430               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001535000000000000000015358000000000000FINAL CONSUMIDOR FINAL        0000000000090000000000000000000000000000074382100000000000001562               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001536000000000000000015368000000000000FINAL CONSUMIDOR FINAL        0000000000387990000000000000000000000000320652100000000000006734               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001537000000000000000015378000000000000FINAL CONSUMIDOR FINAL        0000000000309990000000000000000000000000256192100000000000005380               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001538000000000000000015388000000000000FINAL CONSUMIDOR FINAL        0000000000190010000000000000000000000000157032100000000000003298               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001539000000000000000015398000000000000FINAL CONSUMIDOR FINAL        0000000000237000000000000000000000000000195872100000000000004113               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001540000000000000000015408000000000000FINAL CONSUMIDOR FINAL        0000000000519970000000000000000000000000429732100000000000009024               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001541000000000000000015418000000000000FINAL CONSUMIDOR FINAL        0000000000180000000000000000000000000000148762100000000000003124               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001542000000000000000015428000000000000FINAL CONSUMIDOR FINAL        0000000000065000000000000000000000000000053722100000000000001128               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001543000000000000000015438000000000000FINAL CONSUMIDOR FINAL        0000000000092010000000000000000000000000076042100000000000001597               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001544000000000000000015448000000000000FINAL CONSUMIDOR FINAL        0000000000242000000000000000000000000000200002100000000000004200               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001545000000000000000015458000000000000FINAL CONSUMIDOR FINAL        0000000000200000000000000000000000000000165292100000000000003471               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000000183000000000000000001830000000000000FINAL CONSUMIDOR FINAL        0000000000017000000000000000000000000000014052100000000000000295               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001546000000000000000015468000000000000FINAL CONSUMIDOR FINAL        0000000000135000000000000000000000000000111572100000000000002343               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001547000000000000000015478000000000000FINAL CONSUMIDOR FINAL        0000000000350000000000000000000000000000289262100000000000006074               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001548000000000000000015488000000000000FINAL CONSUMIDOR FINAL        0000000000054990000000000000000000000000045452100000000000000954               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001549000000000000000015498000000000000FINAL CONSUMIDOR FINAL        0000000000072010000000000000000000000000059512100000000000001250               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
12012040306 00000000000000001550000000000000000015508000000000000FINAL CONSUMIDOR FINAL        0000000000105000000000000000000000000000086782100000000000001822               000000000000000                                                                           1                       ********|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||00000000000000000000000
